,,,,
Name,Link,amount,Note,Total price in €
Aluminium B-Type 20x20x350mm Extrusion,https://www.motedis.com/en/Profile-20x20-B-type-slot-6?added_to_cart=1&show_cart=1,4,,"6,1"
Aluminium B-Type 20x20x650mm Extrusion,https://www.motedis.com/en/Profile-20x20-B-type-slot-6?added_to_cart=1&show_cart=1,4,,"11,32"
Aluminium B-Type 20x20x450mm Extrusion,https://www.motedis.com/en/Profile-20x20-B-type-slot-6?added_to_cart=1&show_cart=1,4,,"7,84"
Aluminium B-Type 20x20x620mm Extrusion,https://www.motedis.com/en/Profile-20x20-B-type-slot-6?added_to_cart=1&show_cart=1,1,,"2,7"
corner bracket,https://www.motedis.com/en/Steel-bracket-configurator,4,,"3,34"
drob in nut M5,https://www.motedis.com/en/T-nut-B-type-slot-6-M5,48+4+6=58,,"9,3"
mounting screw M5x8,https://www.motedis.com/en/Screw-DIN-7380?show_cart=1&from_cart=1&products_id=1070,48,,"3,48"
MNG12H x 500mm,https://de.aliexpress.com/item/1810493644.html?spm=a2g0o.productlist.0.0.5ec5eIwGeIwGoP&mp=1&gatewayAdapt=glo2deu,1,,"18,64"
MNG12H x 400mm,https://de.aliexpress.com/item/1810493644.html?spm=a2g0o.productlist.0.0.5ec5eIwGeIwGoP&mp=1&gatewayAdapt=glo2deu,2,,"35,9"
M3x8,https://www.motedis.com/en/Screw-DIN-7380?added_to_cart=1&show_cart=1,26,,"0,86"
M3 drop in nut,https://www.motedis.com/en/T-nut-B-type-slot-6-M3?added_to_cart=1&show_cart=1,26,,"4,32"
"belt 6mm heigh, 1,5m length",https://www.amazon.de/QitinDasen-Zahnriemen-Zahnriemenscheibe-Bohrung-Torsionsfeder-silber/dp/B07SHB3NBV/ref=sr_1_9?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&sr=8-9,2,just cut it in half,"19,48"
GT2 20T Idler,https://www.amazon.de/QitinDasen-Zahnriemen-Zahnriemenscheibe-Bohrung-Torsionsfeder-silber/dp/B07SHB3NBV/ref=sr_1_9?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&sr=8-9 + https://www.motedis.com/de/Fuehrungsrad-GT2-20-Zaehne-5mm-Bohrung-fuer-6mm-Riemen,6,!one is missing in packet,""""" + 2,16"
GT2 20T with motor mount,https://www.amazon.de/QitinDasen-Zahnriemen-Zahnriemenscheibe-Bohrung-Torsionsfeder-silber/dp/B07SHB3NBV/ref=sr_1_9?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&sr=8-9,2,,""""""
Idler assembly,https://www.motedis.com/de/Fuehrungsrad-fuer-6mm-breiten-Zahnriemen,2,,"5,61"
M3x16 screw,https://www.motedis.com/en/Screw-DIN-7380?added_to_cart=1&show_cart=1,8+4=12,,"0,68"
M5x30 screw,*,4,,*
M5 Hex Nut,*,4+10+5+1=20,,*
M3x10 screw,https://www.motedis.com/en/Screw-DIN-7380?added_to_cart=1&show_cart=1,8,,"0,61"
M5x10 screw,*,4+6=10,,*
M5x40 screw,*,2,,*
M5x60 screw,*,4,,*
PP rope 60cm,*,1,,*
M4 Nut,*,4,,*
M4x16 screw,*,4+4=8,,*
M2x12 screw,https://de.aliexpress.com/item/4000373283188.html?spm=a2g0o.productlist.main.5.2ece1e04Uki9yP&algo_pvid=c86b8af0-fe62-4068-b84d-3cbb5939072e&pdp_ext_f=%7B%22order%22%3A%221166%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000373283188%7C_p_origin_prod%3A,4,,2
Nema17 Motor,https://www.amazon.de/STEPPERONLINE-Schrittmotor-55Ncm-Meter-3D-Drucker/dp/B0B93HTR87/ref=sr_1_7?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&s=industrial&sr=1-7,2,,"25,98"
Nema8 Motor,https://de.aliexpress.com/item/1005006701631058.html?spm=a2g0o.cart.0.0.3c7c4ae4LDZoRN&mp=1&gatewayAdapt=glo2deu,1,,13
SG90 Microservo,have one at home,1,,0
cables,https://de.aliexpress.com/item/1005008857648878.html?spm=a2g0o.productlist.main.2.27e15ff9pb7sW2&algo_pvid=6394391a-8a03-4d8d-a9df-5431ca684390&pdp_ext_f=%7B%22order%22%3A%22929%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008857648878%7C_p_origin_prod%3A,,,"5,25"
microswitch,https://www.amazon.de/DAOKAI-Endschalter-Scharnier-gerader-Momentschalter/dp/B09WVMRD5V/ref=sr_1_2?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&sr=8-2,1,,"4,89"
microswitch cables,,,,I have some at home
esp32,https://www.amazon.de/WROOM-1-N16R8-ESP32-S3-DevKitC-1-Entwicklungsboards-Bluetooth-kompatibel/dp/B0FYFF8CB2/ref=asc_df_B0FYFF8CB2?mcid=65c17b4179273b19b8ea4a9fa91c6718&psc=1&hvadid=781502546290&hvpos=&hvnetw=g&hvrand=7800499081194306712&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9041540&hvtargid=pla-2456655857519&psc=1&hvocijid=7800499081194306712-B0FYFF8CB2-&hvexpln=0,,,9
24V Powersupply,https://www.amazon.de/Universal-Leistungstreiber-Steckeradaptern-Wechselrichter-Transformator-DC24V-1A/dp/B09KNC77W1/ref=sr_1_6?sr=8-6,,,"8,39"
PCB,,,,"9,9"
